gamma,beta,lambda_1,lambda_2,lambda_3,n,mean_delta,std_delta,lcb,t_stat,p_value,caa_sharpe_mean,aa_sharpe_mean,p_fdr
14.608353692106903,2.0903939783573153,9.683765923511237,32.132610293105245,9.00429718149826,40.0,0.06042304439348737,0.06005653255459436,0.03738780852044363,6.363152693545577,1.6222402881251263e-07,2.9111816251249123,2.850758580731425,4.640150991732205e-07
17.884055289439857,3.7204220678657296,1.7105648149736228,131.79271315131336,7.87701541557908,40.0,0.08561721392987218,0.1274715828187139,0.03672431498220103,4.247933491519241,0.00012957624415719547,3.4173357587303785,3.3317185448005056,0.0002448082546438527
11.294883452355862,4.685453236289322,8.839332099352031,105.2591475090012,14.581903961021453,40.0,0.06965384646685283,0.09891207234547918,0.03171521064736984,4.453749626387121,6.895932815655464e-05,3.0410268550867263,2.9713730086198735,0.00013424781755192386
19.201806178316474,2.733037643413991,7.153946861904115,3.0942789735272527,8.743018466699867,40.0,0.10753662532364446,0.2009809709121295,0.03044852392941777,3.384008609049215,0.0016389600749074802,3.1046514998556534,2.997114874532009,0.0027069276075891288
6.135272555984557,0.3079838965088129,8.343519515916705,88.27470872923732,8.267875762376933,40.0,0.05829353317282321,0.08346324309294714,0.026280438017396247,4.417281928031872,7.715693682681585e-05,2.892113976639496,2.833820443466673,0.00014963769566412772
8.221410777419806,1.9917742598801853,8.626803633663803,101.47725043259561,15.98690988747403,40.0,0.05243908132241568,0.06948413560098586,0.025787801521200793,4.773087668180627,2.555913833867823e-05,3.0617236429250205,3.0092845616026045,5.408326991349484e-05
7.472214926965535,0.5388282707892359,9.014753653388471,12.070247926749289,13.593703000526874,40.0,0.05615176661980751,0.08187094543063186,0.02474941188963213,4.337740970910279,9.849585384677692e-05,3.0856619613286016,3.029510194708794,0.00018887594445524263
6.987560139037669,3.395445861667395,9.924048465676606,79.28218303527683,21.555506017711014,40.0,0.04559384310636748,0.055227332340469,0.02441089142754369,5.221341874984489,6.215252890528045e-06,3.087547219534961,3.0419533764285935,1.4732451296066476e-05
13.972518128342927,2.6954492347314956,9.097746914252639,93.58711473736912,9.880759863462298,40.0,0.05035370720270564,0.0714863176349288,0.022934472052574793,4.454905740339139,6.87139457931907e-05,2.905300010609081,2.854946303406376,0.00013424781755192386
3.197836086153984,1.1942300722934307,3.8064754710532727,66.29186081048101,3.081566826440394,40.0,0.07605895282110561,0.1389350220251538,0.02276914624649823,3.462331151010113,0.001313993417747702,2.787912893235127,2.711853940414021,0.002198577221852364
10.584111636504531,0.4783446106128395,8.034221660438925,131.15843550581485,11.22768356008455,40.0,0.06289605328675864,0.10727237138441631,0.02175074781554323,3.7082201438192626,0.0006480899251707368,2.995693766157437,2.9327977128706784,0.0011172459316074654
11.92136430926621,0.40540630370378494,9.942785613425077,169.71086589992046,16.820761200133713,40.0,0.06248568691562136,0.10793147302568037,0.021087576942963475,3.661528676932452,0.0007422465412817805,3.0325228907726967,2.9700372038570757,0.0012710041108236509
