combo_id,distance,dist_return,dist_risk,mean_d_return,mean_d_risk,caa_return_mean,aa_return_mean,caa_risk_mean,aa_risk_mean,caa_sharpe_mean,aa_sharpe_mean,n,gamma,beta,lambda_1,lambda_2,lambda_3
24,0.15434653601393994,0.11338339983809373,0.10472372138468641,0.06388499835755612,0.015217620665623719,0.9463878845122451,0.8825028861546891,0.09051641470470284,0.07529879403907912,3.146917583667178,3.2247119400872095,40,7.809310760349035,4.995259082131088,6.983694064617157,136.09777413774282,20.73657448878512
427,0.15510716836944163,0.14111977209956358,0.06436958600265776,-0.0029844191017283916,0.0011698287404711051,0.8122566529366061,0.8152410720383347,0.05559412795773557,0.05442429921726446,3.4464951836741164,3.49795187453026,40,2.157454025000334,0.8101818593218922,4.294642273522913,36.387379264459014,19.511088217422365
326,0.15606579721502828,0.12269057223263756,0.09645494567719315,0.042126984831673,0.009397695618481583,0.9062723154231012,0.8641453305914283,0.07731636811132785,0.06791867249284626,3.261264941839719,3.3204166269815234,40,12.851205660961568,4.518573572579771,6.674249941576272,96.60733798518777,23.72150912033394
368,0.15684673310042108,0.14136589665480015,0.06794542624238288,0.004245237176803532,0.0011233741394758418,0.7231356032908729,0.7188903661140693,0.042101181590418854,0.040977807450943,3.5260301776087943,3.5587221632172943,40,10.113365467637777,4.799016377795487,6.275701535027474,187.40464634541422,34.8808146731928
152,0.15685061600059183,0.11585505594697032,0.10573420331798736,0.05499508422161975,0.013599661221663445,0.9534036180332037,0.8984085338115839,0.09052614163048314,0.07692648040881969,3.1711913934129625,3.243437352964544,40,7.654935447499156,2.704258700925857,9.331269929278642,122.51223064307123,29.279894714988767
268,0.15688589622305865,0.12656965069918139,0.09270009684784337,0.032701367780687864,0.00661512948873059,0.8716891349279468,0.838987767147259,0.06938294856286606,0.06276781907413546,3.3103154266126564,3.3567321602507176,40,5.691594661213458,3.1976204418577256,7.777594990469515,137.79027706757188,29.872042389586568
153,0.15808469611146309,0.11940203998316958,0.1036046523690476,0.02081156384691393,0.0068887116679616734,0.9550670742772944,0.9342555104303804,0.0904601012144651,0.08357138954650342,3.1782237059221616,3.234263296877148,40,12.23522852640599,0.8550189416855574,3.306268083956093,11.495921120978892,9.971098953671753
228,0.16157769095516317,0.1409411115291023,0.07901236166159929,0.00013586714319339943,0.0007727362832256668,0.7464017150343263,0.7462658478911328,0.04558706664992279,0.04481433036669712,3.497579186402149,3.533448905566366,40,3.1031864872202277,4.32330921003595,7.198234797269106,172.32415509596467,37.40400234870613
92,0.16181199755605968,0.13678518190241212,0.08644614835263799,0.023265028832817496,0.004578006973414608,0.8196246710035531,0.7963596421707357,0.05762980600825427,0.053051799034839656,3.415140068101594,3.4658943368168167,40,3.466926778666675,4.913167277351022,7.582567497715354,121.02321114111692,33.64294571839273
282,0.1638836512122267,0.13972719200519676,0.0856397276326452,0.01209322871588849,0.0013846860053657313,0.7569670041062407,0.7448737753903523,0.04709692686287004,0.045712240857504305,3.4966353784402555,3.4960375942890822,40,16.59340447280556,4.318586655613035,4.240145675465464,129.7625031210482,21.327706774882973
